UniqueID,Variable,Component,EMS_Code,Use,Media,Type,Days,Samples,Statistic,NarrativeWQG,MethodNotes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
740,Silver ,Total,EMS_AG_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,Based on National Status and Trends Program Approach.,,,Probable Effect,Upper Limit,2.2,,ug/g,Working,"Long, E. R., and Morgan, L. G. 1990. The Potential for Biological Effects of Sediment Sorbed Contaminants Tested in the National Status and Tends Program, National Oceanic and Atmospheric Administration, Seattle, Washington.",,,
741,Silver ,Total,EMS_AG_T,Aquatic Life - Marine,Water,Short-term acute,1,1,max,,,,Open coast and estuaries,No Effect,Upper Limit,3,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/silver-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/silver-tech.pdf
742,Silver ,Total,EMS_AG_T,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,Open coast and estuaries,No Effect,Upper Limit,1.5,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/silver-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/silver-tech.pdf
743,Simazine,Total,EMS_S001,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
744,Simazine,Total,EMS_S001,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,10,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
745,Simazine,Total,EMS_S001,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,10,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
746,Styrene,Total,EMS_S010,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,72,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
747,Sulfolane,Total,,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,8.4,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulfolane-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulfolane-tech.pdf
748,Sulfolane,Total,,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,14,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulfolane-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulfolane-tech.pdf
749,Sulfolane,Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulfolane-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulfolane-tech.pdf
750,Sulfolane,Total,,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,0.27,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
751,Sulphate ,Dissolved,EMS_1121,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1000,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
752,Sulphate ,Total,EMS_0121,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1000,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulphate/bc_moe_wqg_sulphate.pdf
753,Sulphate ,Total,EMS_0121,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 <= 30 | EMS_1107 <= 30,,No Effect,Upper Limit,128,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulphate/bc_moe_wqg_sulphate.pdf
754,Sulphate ,Total,EMS_0121,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,(!is.na(EMS_0107) & (EMS_0107 > 30 & EMS_0107 <= 75)) | (!is.na(EMS_1107) & (EMS_1107 > 30 & EMS_1107 <= 75)),,No Effect,Upper Limit,218,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulphate/bc_moe_wqg_sulphate.pdf
755,Sulphate ,Total,EMS_0121,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,(!is.na(EMS_0107) & (EMS_0107 > 75 & EMS_0107 <= 180)) | (!is.na(EMS_1107) & (EMS_1107 > 75 & EMS_1107 <= 180)),,No Effect,Upper Limit,309,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulphate/bc_moe_wqg_sulphate.pdf
756,Sulphate ,Total,EMS_0121,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,(!is.na(EMS_0107) & (EMS_0107 > 180 & EMS_0107 <= 250)) | (!is.na(EMS_1107) & (EMS_1107 > 180 & EMS_1107 <= 250)),,No Effect,Upper Limit,429,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/sulphate/bc_moe_wqg_sulphate.pdf
757,Sulphate ,Total,EMS_0121,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,500,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
758,Sulphide ,Total,EMS_0125,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,"Total sulphide = dissolved H2S + HS + acid-soluble metal sulphides present in suspended matter. Dissolved sulphide is that remaining after suspended solids have been removed after flocculation or settling. In aquatic environments, H2S and HS are in equilibrium as H2S = H+ + HS-. The un-ionized H2S can be calculated from dissolved sulphide, the sample pH and the ionization constant (which is dependent on the sample water temperature) of H2S.",No Effect,Upper Limit,2,,ug/L,Working,"US Environmental Protection Agency. 1976. Quality criteria for water. Washington, DC (US): Office of Water Regulations and Standards, July 1976. 534 p. (The Red Book).",,,
759,Tebuthiuron,Total,,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Cereals, hay and pastures",No Effect,Upper Limit,0.27,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
760,Tebuthiuron,Total,,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,130,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
761,Tebuthiuron,Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.6,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
762,Temperature,Total,EMS_0013,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
763,Temperature,Total,EMS_0013,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
764,Temperature,Total,EMS_0013,Aquatic Life - Estuarine,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees.  The natural temperature cycles characteristic of the site should not be altered in amplitude or frequency by human activities.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
765,Temperature,Total,EMS_0013,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Streams with Bull Trout and/or Dolly Varden: Short-term daily temperature max is 15 degrees; Short-term max incubation temperature is 10 degrees; minimum incubation temperature is 2 degrees; short-term spawning temperature max is 10 degrees,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
766,Temperature,Total,EMS_0013,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Streams with known fish distribution: +/- 1 degree change beyond optimum temperature range for life history phase of the most sensitive salmonid species present (optimum temperatures are availabe in the temperature overview report); hourly rate of change not to exceed 1 degree,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
767,Temperature,Total,EMS_0013,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Streams with unknown fish distribution: mean weekly short-term temperature (defined as the average of the warmest daily short-term temperatures for 7 consecutive days) is 18 degrees; short-term daily temperature max of 19 degrees; hourly rate of change not to exceed 1 degree; short-term incubation temperature max of 12 degrees (in spring and fall),,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
768,Temperature,Total,EMS_0013,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Lakes & Impoundments: +/- of 1 degree change from abient background temperature,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
769,Temperature,Total,EMS_0013,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees.  The natural temperature cycles characteristic of the site should not be altered in amplitude or frequency by human activities.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
770,Temperature,Total,EMS_0013,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,15,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
771,Temperature,Total,EMS_0013,Recreation,Water,Primary Contact,1,1,max,Should not cause an appreciable increase or decrease in the deep body temperature of swimmers.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
772,Temperature,Total,EMS_0013,Wildlife,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees. ,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
773,Temperature,Total,EMS_TEMF,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees. ,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
774,Temperature,Total,EMS_TEMF,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees. ,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
775,Temperature,Total,EMS_TEMF,Aquatic Life - Estuarine,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees.  The natural temperature cycles characteristic of the site should not be altered in amplitude or frequency by human activities.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
776,Temperature,Total,EMS_TEMF,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Streams with Bull Trout and/or Dolly Varden: Short-term daily temperature max is 15 degrees; Short-term max incubation temperature is 10 degrees; minimum incubation temperature is 2 degrees; short-term spawning temperature max is 10 degrees,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
777,Temperature,Total,EMS_TEMF,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Streams with known fish distribution: +/- 1 degree change beyond optimum temperature range for life history phase of the most sensitive salmonid species present (optimum temperatures are availabe in the temperature overview report); hourly rate of change not to exceed 1 degree,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
778,Temperature,Total,EMS_TEMF,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Streams with unknown fish distribution: mean weekly short-term temperature (defined as the average of the warmest daily short-term temperatures for 7 consecutive days) is 18 degrees; short-term daily temperature max of 19 degrees; hourly rate of change not to exceed 1 degree; short-term incubation temperature max of 12 degrees (in spring and fall),,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
779,Temperature,Total,EMS_TEMF,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,Lakes & Impoundments: +/- of 1 degree change from abient background temperature,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
780,Temperature,Total,EMS_TEMF,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees.  The natural temperature cycles characteristic of the site should not be altered in amplitude or frequency by human activities.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
781,Temperature,Total,EMS_TEMF,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,15,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
782,Temperature,Total,EMS_TEMF,Recreation,Water,Primary Contact,1,1,max,Should not cause an appreciable increase or decrease in the deep body temperature of swimmers.,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
783,Temperature,Total,EMS_TEMF,Wildlife,Water,Long-term chronic,30,5,mean,Max of +/- 1 degree change from ambient background temperature.  Hourly rate of change up to 0.5 degrees. ,,,,No Effect,,,,C,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/temperature-tech.pdf
784,Tetrachloromethane (carbon tetrachloride),Total,EMS_C034,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
785,Tetrachloromethane (carbon tetrachloride),Total,EMS_C034,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,13.3,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
786,Thallium ,Total,EMS_TL_T,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,"30-day average, site-specific objective for the lower Columbia River, BC",,,,No Effect,Upper Limit,0.8,,ug/L,Working,"MacDonald Environmental Sciences Ltd. 1997. Lower Columbia River from Birchbank to the international border: Water quality assessment and recommended objectives technical report.  Prepared for Environment Canada and BC Ministry of Environment, Lands and Parks.  218 pp.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_birchbank_border.pdf,,
787,"Tin, Tributyltin",Total,EMS_TRSN,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,250,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
788,"Tin, Tributyltin",Total,EMS_TRSN,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.008,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
789,"Tin, Tributyltin",Total,EMS_TRSN,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.001,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
790,"Tin, Tricyclohexyltin",Total,,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,250,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
791,"Tin, Triethyltin",Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.4,,ug/L,Working,"Ontario Ministry of Environment and Energy.  1994. Water Management Policies, Guidelines, Provincial Water Quality Objectives of the Ministry of Environment and Energy. 32 p.",,,
792,"Tin, Triphenyltin",Total,,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,820,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
793,"Tin, Triphenyltin",Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.022,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
794,Toluene ,Total,EMS_T001,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.5,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/toluene-or.pdf,
795,Toluene ,Total,EMS_T001,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,0.06,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
796,Toluene ,Total,EMS_T001,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.024,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
797, dissolved solids (filterable residue),Dissolved,EMS_0007,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Low tolerance crops (strawberry, raspberry, bean, carrot).",No Effect,Upper Limit,500,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
798, dissolved solids (filterable residue),Dissolved,EMS_0007,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Slightly tolerant crops (all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover)",No Effect,Upper Limit,800,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
799, dissolved solids (filterable residue),Dissolved,EMS_0007,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Moderately tolerant crops (spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass).",No Effect,Upper Limit,1500,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
800, dissolved solids (filterable residue),Dissolved,EMS_0007,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Tolerant crops (beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegras).",No Effect,Upper Limit,2500,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
801, dissolved solids (filterable residue),Dissolved,EMS_0007,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Very tolerant crops (asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass).",No Effect,Upper Limit,3500,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
802, dissolved solids (filterable residue),Dissolved,EMS_0007,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,3000,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
803, Gas Pressure,Total,EMS_TGP_,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,"At sea level, maximum gas pressure <= or 110%.  If background levels are higher than recommended guidelines then no increase in excess gas pressure or total gas pressure.  For hatchery environments: maximum excess gas pressure = 24 mmHg (or 103% at sea level; excess gas pressure = 0 mmHg when partial pressure of dissolved oxygen is ?100 mmHg",No Effect,Upper Limit,76,,mmHg,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/totalgas-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/totalgas-tech.pdf
